time,motor.m1,motor.m2,motor.m3,motor.m4,
79813,45526,38346,41688,39152,
79913,42191,40799,43225,37461,
80013,41873,42525,44027,37887,
80113,43638,41198,40276,39596,
80213,35780,40080,48166,40954,
80313,40660,42678,43100,38902,
80413,44255,45603,38251,36395,
80513,42256,43808,39728,38928,
80613,42112,41552,38498,41614,
80713,36926,40654,43726,43354,
80813,40708,44504,40202,40286,
80913,41279,41171,40721,43837,
81013,39877,45209,42165,39081,
81113,41685,43189,39761,41009,
81213,42815,43003,36323,39815,
81313,36711,43541,44361,41515,
81413,37679,42885,43015,41517,
81513,42582,43954,37256,39096,
81613,36103,41285,43807,42389,
81713,37296,41654,42032,41366,
81813,40491,42313,38867,40921,
81913,42047,46251,37109,37401,
82013,35597,41847,43951,42709,
82113,43969,48165,36073,37585,
82213,45595,44709,33841,41399,
82313,41358,47018,37772,39624,
82413,36485,43807,41001,41103,
82513,39999,42553,38233,43367,
82613,40810,43580,35648,41770,
82713,37604,45072,40086,40678,
82813,37844,43258,41214,44336,
82913,36002,41178,45114,47722,
83013,39077,44131,40897,43279,
83113,38902,45214,41708,41708,
83213,39779,40227,41479,46343,
83313,40141,42993,39863,41955,
83413,39004,42920,40520,41916,
83513,38910,41390,41602,43582,
83613,39737,44919,39973,39551,
83713,39308,42940,39952,40800,
83813,35663,41931,43749,41517,
83913,33783,43863,44573,38861,
84013,41568,46102,36920,37302,
84113,39420,42472,38850,41530,
84213,35803,41115,44149,43805,
84313,38702,42644,42434,42132,
84413,42073,43301,40165,41333,
84513,38975,44111,43997,41761,
84613,39621,42197,44959,44423,
84713,40128,44650,43836,40654,
84813,42371,43973,40321,39259,
84913,40396,36344,40860,44592,
85013,39043,39609,44799,41589,
85113,39701,42945,43501,37253,
85213,40491,40327,42893,40077,
85313,40691,38901,43291,41917,
85413,39526,42336,44882,40188,
85513,40615,41437,43175,40865,
85613,40437,43749,43289,39037,
85713,39492,43204,43408,38644,
85813,38849,41215,44783,41481,
85913,39201,41349,43823,40787,
86013,42268,41702,40850,40000,
86113,38223,42421,44993,39427,
86213,37006,42690,46892,40012,
86313,41756,41228,40558,41178,
86413,42400,41892,39680,41328,
86513,37564,43964,44276,39604,
86613,35390,45300,45906,38608,
86713,41896,41864,39744,42124,
86813,42496,42814,40170,41512,
86913,40356,42156,42832,42660,
87013,43380,39852,37866,43334,
87113,39459,41591,41913,40277,
87213,38616,42190,42750,40308,
87313,34578,44694,48484,38932,
87413,40817,40023,42343,44389,
87513,41018,43068,40550,40468,
87613,38050,43394,43696,39864,
87713,39725,42293,40929,40489,
87813,37220,42436,43438,41146,
87913,38779,42687,42301,41697,
88013,36363,43879,44213,40721,
88113,38000,41940,41546,41306,
88213,39225,43967,42351,40425,
88313,36069,43803,44771,40993,
88413,38835,45765,43481,40615,
88513,39803,42583,43711,44459,
88613,40558,42522,41486,42082,
88713,40640,42862,39950,43280,
88813,38203,41517,40779,43133,
88913,40060,43094,38730,40844,
89013,40627,43767,38109,39957,
89113,38981,43911,41105,42151,
89213,39333,42797,40139,42483,
89313,38378,42666,41546,42226,
89413,37747,46367,42539,39687,
89513,38433,41533,42227,44103,
89613,39242,46342,41976,41452,
89713,39525,45759,43205,42311,
89813,41048,46048,42316,41064,
89913,41359,42967,41671,42703,
90013,39189,43319,42011,40929,
90113,36613,40095,42603,41973,
90213,39253,40547,39689,42315,
90313,41070,42344,38286,42240,
90413,35588,44760,43570,38918,
90513,36610,41870,41892,43176,
90613,39074,44728,41850,41976,
90713,39796,43860,40940,43644,
90813,40237,42113,40091,44515,
90913,36090,39024,42810,45808,
91013,39617,42451,39049,42443,
91113,35508,44598,43258,41844,
91213,38586,41770,39796,45016,
91313,38246,43930,39502,42158,
91413,38225,44865,38651,41547,
91513,37968,43950,40370,43060,
91613,39120,44006,39386,42884,
91713,37020,43748,40546,42534,
91813,37726,43370,40370,43102,
91913,39255,43827,38629,43501,
92013,37778,43564,40140,43638,
92113,36689,43689,41139,44079,
92213,36826,43002,41964,44892,
92313,38601,43403,39691,44565,
92413,37191,44811,42297,42625,
92513,38802,41378,41298,46098,
92613,38162,43796,40776,43678,
92713,37862,45650,42046,40350,
92813,39422,39730,40698,43674,
92913,40547,41559,39543,41947,
93013,39582,43544,42662,41324,
93113,37926,43742,43842,42026,
93213,38172,42848,43992,41700,
93313,38131,43587,43151,41747,
93413,37931,42021,43395,41409,
93513,38292,41506,42408,40302,
93613,40628,41756,41716,41340,
93713,38198,41810,43726,40042,
93813,38127,40925,45059,41289,
93913,40148,40948,43052,41176,
94013,40562,40962,42144,41112,
94113,38550,40592,45538,42340,
94213,38645,40915,44559,41649,
94313,41299,41061,40907,41693,
94413,39482,42762,41978,39514,
94513,39011,41799,43085,40909,
94613,40697,41931,42171,42097,
94713,40845,42799,41643,41613,
94813,38181,41971,43179,40489,
94913,40803,43097,41795,40613,
95013,39839,43453,43993,41555,
95113,38201,43267,46259,42109,
95213,41570,40644,41246,42688,
95313,39073,43093,43645,39313,
95413,37379,43507,44931,39323,
95513,40782,39978,42368,43536,
95613,39431,41943,44241,41425,
95713,38856,40442,44424,42622,
95813,37716,40404,43990,42254,
95913,38944,42536,43932,41676,
96013,39449,41277,42513,42373,
96113,38277,42343,43703,39753,
96213,39589,41367,43539,41129,
96313,41470,42212,42720,41062,
96413,39706,42516,44922,40224,
96513,39365,41543,44299,40557,
96613,40951,41607,41157,39661,
96713,39893,40765,41475,40179,
96813,38929,41593,41997,39845,
96913,36999,41163,43995,40871,
97013,40216,41940,41302,41182,
97113,38538,43060,43074,41524,
97213,40549,44353,41107,40215,
97313,40136,43214,42968,42098,
97413,39378,42188,43604,42358,
97513,40728,42872,41504,41460,
97613,41150,43132,41262,40684,
97713,42437,40829,40485,42921,
97813,38537,42949,46765,41997,
97913,40710,44020,45038,42000,
98013,42671,42741,42185,42155,
98113,41402,40908,41934,40872,
98213,39904,42326,43422,39780,
98313,40827,41127,42801,41333,
