time,stabilizer.thrust,
251921,38805.0,
252021,33584.0,
252121,16989.0,
252221,27346.0,
252321,1653.0,
252421,61064.0,
252521,36736.0,
252621,25952.0,
252721,25109.0,
252821,46011.0,
252921,10578.0,
253021,63445.0,
253121,8460.0,
253221,4989.0,
253321,58312.0,
253421,15406.0,
253521,6113.0,
253621,6898.0,
253721,51276.0,
253821,5260.0,
253921,26307.0,
254021,3300.0,
254121,60327.0,
254221,17267.0,
254321,18749.0,
254421,22006.0,
254521,21618.0,
254621,37559.0,
254721,23618.0,
254821,27336.0,
254921,53220.0,
255021,19484.0,
255121,16500.0,
255221,20803.0,
255321,48555.0,
255421,63415.0,
255521,19720.0,
255621,52654.0,
255721,56171.0,
255821,27675.0,
255921,35387.0,
256021,25418.0,
256121,49312.0,
256221,56725.0,
256321,46087.0,
256421,60767.0,
256521,12083.0,
256621,58829.0,
256721,43352.0,
256821,41351.0,
256921,4835.0,
257021,17786.0,
257121,54997.0,
257221,39965.0,
257321,43643.0,
257421,22646.0,
257521,56740.0,
257621,49354.0,
257721,55779.0,
257821,27020.0,
257921,19183.0,
258021,17616.0,
258121,47846.0,
258221,18833.0,
258321,16992.0,
258421,60399.0,
258521,64806.0,
258621,20818.0,
258721,29043.0,
258821,55499.0,
258921,54170.0,
259021,52417.0,
259121,38818.0,
259221,60059.0,
259321,56355.0,
259421,56843.0,
259521,16958.0,
259621,62106.0,
259721,30174.0,
259821,54572.0,
259921,5222.0,
260021,9115.0,
260121,51514.0,
260221,8615.0,
260321,44567.0,
260421,48327.0,
260521,63837.0,
260621,1819.0,
260721,5841.0,
260821,11737.0,
260921,21872.0,
261021,59545.0,
261121,20116.0,
261221,52654.0,
261321,51449.0,
261421,65256.0,
261521,61572.0,
261621,13715.0,
261721,15545.0,
261821,50815.0,
261921,45520.0,
262021,28008.0,
262121,55437.0,
262221,14069.0,
262321,17874.0,
262421,63937.0,
262521,34304.0,
262621,44551.0,
262721,40583.0,
262821,5706.0,
262921,40092.0,
263021,42721.0,
263121,12095.0,
263221,31844.0,
263321,22433.0,
263421,7007.0,
263521,64008.0,
263621,838.0,
263721,21576.0,
263821,8555.0,
263921,40986.0,
264021,9500.0,
264121,1356.0,
264221,30306.0,
264321,30376.0,
264421,17447.0,
264521,25090.0,
264621,15262.0,
264721,16120.0,
264821,41660.0,
264921,59518.0,
265021,42406.0,
265121,10457.0,
265221,30187.0,
265321,54299.0,
265421,14776.0,
265521,57657.0,
265621,32027.0,
265721,57658.0,
265821,35638.0,
265921,48902.0,
266021,5.0,
266121,6637.0,
266221,11324.0,
266321,39916.0,
266421,12290.0,
266521,49758.0,
266621,8832.0,
266721,2286.0,
266821,30235.0,
266921,44490.0,
267021,54008.0,
267121,60082.0,
267221,25095.0,
267321,13646.0,
267421,21221.0,
267521,3287.0,
267621,46258.0,
267721,6044.0,
267821,36146.0,
267921,47678.0,
268021,15016.0,
268121,13368.0,
268221,39554.0,
268321,33419.0,
268421,35546.0,
268521,32885.0,
268621,43173.0,
268721,8179.0,
268821,43354.0,
268921,29722.0,
269021,26616.0,
269121,58197.0,
269221,39286.0,
269321,64448.0,
269421,53701.0,
269521,46651.0,
269621,52905.0,
269721,60599.0,
269821,57746.0,
269921,20084.0,
270021,17579.0,
270121,35148.0,
270221,156.0,
270321,52740.0,
270421,56819.0,
270521,6186.0,
270621,61832.0,
270721,34635.0,
270821,9903.0,
270921,41272.0,
271021,33220.0,
271121,56028.0,
271221,61918.0,
271321,16802.0,
271421,41184.0,
271521,47066.0,
271621,5748.0,
271721,13903.0,
271821,36436.0,
271921,2783.0,
272021,44707.0,
272121,12823.0,
272221,20817.0,
272321,42600.0,
272421,55569.0,
272521,34649.0,
272621,39670.0,
272721,7190.0,
272821,60205.0,
272921,51454.0,
273021,29918.0,
273121,31879.0,
273221,8327.0,
273321,52173.0,
273421,60107.0,
273521,45769.0,
273621,19915.0,
273721,30754.0,
273821,38046.0,
273921,52429.0,
274021,11185.0,
274121,44034.0,
274221,43070.0,
274321,53446.0,
274421,48727.0,
274521,51357.0,
274621,47270.0,
274721,25980.0,
274821,5220.0,
274921,17763.0,
275021,25328.0,
275121,21902.0,
275221,43571.0,
275321,59131.0,
275421,47019.0,
